id;coordenadoria;jurisdicao_id
1;CDE 01;1
2;CDE 02;1
3;CDE 03;1
4;CDE 04;1
5;CDE 05;1
6;CDE 06;1
7;CDE 07;1
8;Alvarães;2
9;Amaturá;2
10;Anamã;2
11;Anori;2
12;Apuí;2
13;Atalaia do Norte;2
14;Autazes;2
15;Barcelos;2
16;Barreirinha;2
17;Benjamin Constant;2
18;Beruri;2
19;Boa Vista do Ramos;2
20;Boca do Acre;2
21;Borba;2
22;Caapiranga;2
23;Canutama;2
24;Carauari;2
25;Careiro;2
26;Careiro da Várzea;2
27;Coari;2
28;Codajás;2
29;Eirunepé;2
30;Envira;2
31;Fonte Boa;2
32;Guajará;2
33;Humaitá;2
34;Ipixuna;2
35;Iranduba;2
36;Itacoatiara;2
37;Itamarati;2
38;Itapiranga;2
39;Japurá;2
40;Juruá;2
41;Jutaí;2
42;Lábrea;2
43;Manacapuru;2
44;Manaquiri;2
45;Manicoré;2
46;Maraã;2
47;Maués;2
48;Nhamundá;2
49;Nova Olinda do Norte;2
50;Novo Airão;2
51;Novo Aripuanã;2
52;Parintins;2
53;Pauini;2
54;Presidente Figueiredo;2
55;Rio Preto da Eva;2
56;Santa Isabel do Rio Negro;2
57;Santo Antônio do Içá;2
58;São Gabriel da Cachoeira;2
59;São Paulo de Olivença;2
60;São Sebastião do Uatumã;2
61;Silves;2
62;Tabatinga;2
63;Tapauá;2
64;Tefé;2
65;Tonantins;2
66;Uarini;2
67;Urucará;2
68;Urucurituba;2
