id;escola;coordenadoria_id
1;EETI Antonio Teles de Souza;1
2;EETI Hermenegildo de Campos;1
3;Ceja Profa. Jacira Caboclo;1
4;EE Getulio Vargas;1
5;EETI Helena Araujo;1
6;EE Izabel Barroncas;1
7;EE Marcio Nery;1
8;EE Padre Agostinho Martin;1
9;EETI Conego Azevedo;1
10;EE Nossa Senhora Aparecida;1
11;EE Vicente Schettini;1
12;EE Prof. Antenor Sarmento;1
13;EE Princeza Isabel;1
14;EE Profa. Eunice Serrano Telles de Souza;1
15;EETI Ribeiro da Cunha;1
16;Instituto de Educacao do Amazonas;1
17;Colegio Amazonense Dom Pedro II;1
18;Colegio Brasileiro Pedro Silvestre;1
19;EE Barao do Rio Branco;1
20;EE Augusto Carneiro dos Santos;1
21;EE Diofanto Vieira Monteiro;1
22;EE Frei Silvio Vagheggi;1
23;EE Farias Britto;1
24;EE Prof. Francisco Das Chagas de Souza Albuquerque;1
25;Ceja Prof. Paulo Freire;1
26;EE Luizinha Nascimento;1
27;EE Placido Serrano;1
28;EE 1º de Maio;1
29;EE Santa Luzia;1
30;EE Balbina Mestrinho;1
31;EE Carvalho Leal;1
32;EE Euclydes da Cunha;1
33;EE Ruy Araujo;1
34;EE Manoel Marcal de Araujo;1
35;EE Giovanni Figliuolo;1
36;EE Almirante Ernesto Mello Baptista;2
37;EE Estelita Tapajos;2
38;EETI Machado de Assis;2
39;EE Monteiro de Souza;2
40;CETI Gilberto Mestrinho de Medeiros Raposo;2
41;EE Profa. Diana Pinheiro;2
42;EE J. G. Araujo;2
43;EE Alfredo Campos;2
44;EE Lucinda Felix de Azevedo;2
45;EE Luis de Camoes;2
46;EE Nathalia Uchoa;2
47;EE Profa. Ondina de Paula Ribeiro;2
48;EE Prof. Benicio Leao;2
49;EE Nossa Senhora da Divina Providencia;2
50;EE Prof. Nelson Alves Ferreira;2
51;EE Milburges Araujo;2
52;EE Senador Cunha Melo;2
53;EETI Isaac Benzecry;2
54;EE Mestre Otilio;2
55;EETI Profa. Roxana Pereira Bonessi;2
56;EE Major Silva Coutinho;2
57;EE Sant Ana;2
58;EETI Prof. Djalma da Cunha Batista;2
59;Colegio Militar da Policia Militar do Amazonas;2
60;EE Tiradentes;2
61;EETI Profa. Jacimar da Silva Gama;2
62;Anexo do Colegio Militar da Policia Militar do Amazonas I;2
63;EE Bom Pastor;2
64;EE Dorval Porto;2
65;EETI Jose Carlos Mestrinho;2
66;EE Adalberto Vale;2
67;EE Antonio de Lucena Bittencourt;2
68;EE Paula Angela Frassinetti;2
69;EE Leopoldo Neves;2
70;EETI Madre Tereza de Calcuta;2
71;EE Brig. Joao Camarao Telles Ribeiro;2
72;EE Senador Antovila Mourao Vieira;2
73;Anexo EE Jacimar S Gama;2
74;EE Solon de Lucena;3
75;EE Vicente Telles;3
76;EE Maria da Luz Calderaro;3
77;EETI Maria Rodrigues Tapajos;3
78;EE Tereza de Jesus Azevedo de Vasconcelos Dias;3
79;EE Thome de Medeiros Raposo;3
80;EETI Santa Terezinha;3
81;EE Angelo Ramazzotti;3
82;EE de Atendimento Especial Mayara Redman Abdel;3
83;EE Menino Jesus de Praga;3
84;EE Olga Falcone;3
85;EE Aderson de Menezes;3
86;EE Profa. Alice Salerno Gomes de Lima;3
87;EETI Altair Severiano Nunes;3
88;EE Profa. Leonilia Marinho;3
89;EE Profa. Alda Barata;3
90;EE Ten. Coronel Candido Jose Mariano;3
91;EETI Francisca Botinelly Cunha E Silva;3
92;EETI Goncalves Dias;3
93;EE Maria Amelia do Espirito Santo;3
94;EETI Senador Petronio Portella;3
95;EE Raimundo Gomes Nogueira;3
96;EE Rosina Ferreira da Silva;3
97;EE Humberto de Campos;3
98;EE Francelina Dantas;3
99;EE Senador Manuel Severiano Nunes;3
100;EETI Maria de Lourdes Rodrigues Arruda;3
101;EE Prof. Waldir Garcia;3
102;Anexo da EE Josephina de Melo - Dagmar Feitosa;3
103;Anexo da EE Josephina de Melo - Marise Mendes;3
104;EE Profa. Adelaide Tavares de Macedo;3
105;EE Terezinha Almeida da Silva;3
106;Anexo da EE Josephina de Melo - Raimundo Parente;3
107;EETI Almirante Barroso;3
108;EE Arthur Araujo;3
109;EE Herbert Palhano;3
110;EETI Profa Leonor Santiago Mourao;3
111;EETI Nossa Senhora Das Gracas;3
112;EE Jose Bentes Monteiro;3
113;EE Simon Bolivar;3
114;Ceja Prof. Agenor Ferreira Lima;3
115;EE Amelia Bittencourt Cardinale;4
116;EE Benjamin Magalhaes Brandao;4
117;EE Duque de Caxias;4
118;EE Senador Flavio da Costa Brito;4
119;EE Julia Bittencourt;4
120;EE Pe Pedro Gislandy;4
121;EE Waldemiro Peres Lustoza;4
122;EE Joao Bosco Pantoja Evangelista;4
123;EE Coronel Pedro Camara;4
124;EE Fueth Paulo Mourao;4
125;EE General Sampaio;4
126;EE Isaac Benayon Sabba;4
127;EE Presidente Castelo Branco;4
128;EETI Zulmira Bittencourt;4
129;EE Agnello Bittencourt;4
130;CETI Aurea Pinheiro Braga;4
131;EETI Liberalina Weill;4
132;EETI Governador Melo Povoas;4
133;EE Santo Antonio;4
134;EE Antonio Bittencourt;4
135;EE Joanna Rodrigues Vieira;4
136;EE Nª Sª da Gloria;4
137;EETI Marques de Santa Cruz;4
138;EE Olavo Bilac;4
139;EE Pedro Silvestre;4
140;EE Sao Luiz de Gonzaga;4
141;EE Marechal Hermes;4
142;EETI Irma Adonai Politi;4
143;EE Antonio da Encarnacao Filho;4
144;EE Prof. Jose Ribamar da Costa;4
145;EE Itacyara Nogueira Pinho;4
146;EE Alfredo Fernandes;4
147;EE Samsung Amazonas;4
148;EE Profa. Bernardete do Socorro Trindade da Rocha;5
149;EE Dr Isaac Sverner;5
150;EE Dom Jacson Damasceno Rodrigues;5
151;EE Roderick de Castello Branco;5
152;EE Ernesto Penafort;5
153;EE Prof. Jorge Karam Neto;5
154;EE Prof. Rofran Belchior da Silva;5
155;EE Gilberto Mestrinho;5
156;EE Manuel Antonio de Souza;5
157;EE Jairo da Silva Rocha;5
158;EE Prof. Ernane Nascimento Simao;5
159;EE Aurea Pinheiro Braga;5
160;EETI Irma Gabrielle Cogels;5
161;Anexo da EE Irma Gabrielle Cogels;5
162;EE Prof. Aristoteles Comte de Alencar;5
163;EE Cacilda Braule Pinto;5
164;EE Dep Josue Claudio de Souza;5
165;EETI Profa Maria Arminda Guimaraes de Andrade;5
166;EE Profa. Myrthes Marques Trigueiro;5
167;EE Prof. Reinaldo Thompson;5
168;EE Prof. Antonio Maurity Monteiro Coelho;5
169;EE Maria Teixeira Goes;5
170;EE Padre Luis Ruas;5
171;EE Antonio Nunez Jimenez;5
172;EETI Maria Madalena Santana de Lima;5
173;EE Rilton Leal Filho;5
174;EE Manuel Rodrigues de Souza;5
175;EE Benedito Almeida;5
176;EE Vasco Vasques;5
177;EE Prof. Cleomenes do Carmo Chaves;5
178;EE Prof. Demostenes Belduque Araujo Travessa;5
179;EE Profa. Cecilia Ferreira da Silva;5
180;CETI Elisa Bessa Freire;5
181;CETI Profa. Cinthia Regia Gomes Do Livramento;5
